serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0
0,0.305682465,57,0,5710.0,8536.403990274244,8,0,3,0,0.0
1,0.964672555,40,3,0.3829647470000001,13700.0,9,3,1,1,2.0
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0
0,7.959999999999997e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0
0,0.9999999,62,0,0.0,3819.490194233397,1,0,0,0,0.0
0,0.401199782,64,0,0.35125893700000005,3216.0,4,0,1,0,0.0
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0
0,0.027399502000000003,69,0,0.008034279999999998,5600.0,3,0,0,0,0.0
0,0.101155821,72,0,1720.0,7793.512263450311,12,0,2,0,0.0
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0
0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0
0,0.08056416799999999,60,0,0.4872889970000001,4916.0,15,0,2,0,0.0
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0
0,0.784835658,52,0,2662.0,7531.592409179885,10,0,2,1,0.0
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0
